task_id,baryon_fraction,scale_radius_over_rs,assembly_time_myr,sigma_over_m_cm2_g,final_black_hole_mass_msun,accreted_dark_matter_msun,enhancement_over_matched_control,peak_accretion_rate_msun_myr,final_accretion_rate_msun_myr,steps,mass_budget_residual_code
43,0.05,0.3,1.0,10.0,139.5685267722677,39.56852677226769,1.1826589890466639,70.82644140774164,10.17664469347017,594819,3.197442310920451e-13
44,0.05,0.01,0.0,30.0,2223.372338334881,2123.372338334881,89.26716483841786,2714.267571026957,2714.267571026957,1305309,1.127986593019159e-13
45,0.05,0.01,0.05,30.0,2201.5408769391124,2101.5408769391124,88.34936411741577,2685.2365091567517,2685.2365091567517,1303207,8.615330671091215e-14
46,0.05,0.01,0.2,30.0,2269.9445018168885,2169.9445018168885,91.22507156978756,2648.192690058537,2648.192690058537,1340252,6.838973831690964e-14
47,0.05,0.01,0.5,30.0,2353.708057317796,2253.708057317796,94.74651478601363,2651.0365663373323,2651.0365663373323,1360825,1.2967404927621828e-13
48,0.05,0.01,1.0,30.0,2206.079989571473,2106.079989571473,88.54018967742604,2645.436025383024,2645.436025383024,1279793,6.856737400084967e-13
49,0.05,0.02,0.0,30.0,810.2750644492278,710.2750644492278,29.860161646698195,976.4587483312689,976.4587483312689,928513,2.0161650127192843e-13
50,0.05,0.02,0.05,30.0,802.0555325393232,702.0555325393232,29.51461023461214,961.4040673795018,961.4040673795018,926342,1.6431300764452317e-13
51,0.05,0.02,0.2,30.0,843.9716383893048,743.9716383893048,31.276775005595777,980.9215004827377,980.9215004827377,951484,1.0391687510491465e-13
52,0.05,0.02,0.5,30.0,890.0684458781087,790.0684458781087,33.21469763854048,1014.3228513451313,1014.3228513451313,963703,2.8688162956314045e-13
53,0.05,0.02,1.0,30.0,813.0318956479067,713.0318956479067,29.97605959855583,955.6175826879236,955.6175826879236,909533,1.6431300764452317e-13
54,0.05,0.04,0.0,30.0,352.13140115827423,252.13140115827423,10.599674367890957,214.0987834017671,214.0987834017671,763346,3.934630399271555e-13
55,0.05,0.04,0.05,30.0,346.38477373984523,246.38477373984523,10.358084549767892,209.99411935744473,209.99411935744473,757699,7.460698725481052e-14
56,0.05,0.04,0.2,30.0,344.79879870190814,244.79879870190814,10.29140971719841,207.69903873172385,207.69903873172385,754194,2.922107000813412e-13
57,0.05,0.04,0.5,30.0,337.8435180551254,237.8435180551254,9.999007780531619,203.93005289196648,203.93005289196648,741070,1.0658141036401503e-13
58,0.05,0.04,1.0,30.0,302.69975742893797,202.69975742893797,8.521554290052455,184.90660800795175,184.90660800795175,704400,1.1102230246251565e-13
59,0.05,0.07,0.0,30.0,227.28051134067596,127.28051134067596,5.350908166900267,110.77201978246055,67.38185212602656,685900,5.950795411990839e-14
60,0.05,0.07,0.05,30.0,223.54584219382326,123.54584219382326,5.193901635200563,97.48122329054677,65.93775836318258,680721,4.796163466380676e-14
61,0.05,0.07,0.2,30.0,216.63738094728723,116.63738094728723,4.903467999167628,75.11749172617729,63.359541165382595,670665,1.829647544582258e-13
62,0.05,0.07,0.5,30.0,204.94193647580593,104.94193647580593,4.4117882543363525,68.02731323839754,59.35885533054968,653962,6.750155989720952e-14
63,0.05,0.07,1.0,30.0,186.46065093576385,86.46065093576385,3.6348298599256323,67.96794284898554,52.86669710830252,630955,8.970602038971265e-14
64,0.05,0.1,0.0,30.0,182.13180061804727,82.13180061804727,3.452843786218243,88.28599333123051,31.54892516527032,646540,1.0480505352461478e-13
65,0.05,0.1,0.05,30.0,179.81772741549267,79.81772741549267,3.355559503904103,77.13334348859665,30.98879126428152,642800,1.3233858453531866e-13
