task_id,matrix,case_type,halo_mass_msun,baryon_fraction,supply_radius_pc,predicted_time_myr,assembly_multiplier,assembly_time_myr,accreted_dark_matter_msun,final_black_hole_mass_msun,peak_accretion_rate_msun_myr,steps,elapsed_seconds,mass_budget_residual_code,cells,r_max_pc,nfw_scale_radius_pc,nfw_concentration,enhancement_over_matched_control
10,base,baryon,1000000.0,0.16,1.0751648436208394,0.5641081809162258,0.5,0.2820540904581129,1515.859005916275,1615.859005916275,2252.5727938744267,1378694,37.81420555198565,3.632649736573512e-13,256,5000.0,30.0,3.9200662204075956,68.5207316952574
11,base,baryon,1000000.0,0.16,1.0751648436208394,0.5641081809162258,1.0,0.5641081809162258,1819.0027446751087,1919.0027446751087,2575.28581603562,1417017,38.85596020298544,5.666578317686799e-13,256,5000.0,30.0,3.9200662204075956,82.22360954044039
12,base,baryon,1000000.0,0.16,1.0751648436208394,0.5641081809162258,2.0,1.1282163618324517,2005.0540036130715,2105.0540036130715,2860.363328510124,1376347,37.70607573800953,3.5704772471945034e-13,256,5000.0,30.0,3.9200662204075956,90.63360568486884
13,base,control,10000000.0,0.0,2.3003306364458274,0.5936172039255486,0.0,0.0,15.346599993207704,115.3465999932077,105.64733126461032,580009,16.95440404600231,2.1316282072803006e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,1.0
14,base,baryon,10000000.0,0.01,2.3003306364458274,0.5936172039255486,0.0,0.0,297.20696303591825,397.20696303591825,335.70288859271704,845480,24.61387141601881,3.197442310920451e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,19.36630674986381
15,base,baryon,10000000.0,0.01,2.3003306364458274,0.5936172039255486,0.5,0.2968086019627743,365.8093753864296,465.8093753864296,368.85269437491837,871624,25.303738579968922,5.417888360170764e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,23.83650942543197
16,base,baryon,10000000.0,0.01,2.3003306364458274,0.5936172039255486,1.0,0.5936172039255486,304.3741989196942,404.3741989196942,318.87201904919743,822137,24.003981265996117,3.907985046680551e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,19.833331099683843
17,base,baryon,10000000.0,0.01,2.3003306364458274,0.5936172039255486,2.0,1.1872344078510972,176.10048512574087,276.1004851257409,186.30758270569632,731839,21.404063963040244,4.529709940470639e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,11.474885981499595
18,base,baryon,10000000.0,0.05,2.3003306364458274,0.5936172039255486,0.0,0.0,192.33343951690114,292.33343951690114,799.882870268644,1231202,35.71695017704042,4.831690603168681e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,12.53264173185113
19,base,baryon,10000000.0,0.05,2.3003306364458274,0.5936172039255486,0.5,0.2968086019627743,533.1354211759615,633.1354211759615,555.7744980792883,1266564,36.78151941701071,2.327027459614328e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,34.73964405222808
20,base,baryon,10000000.0,0.05,2.3003306364458274,0.5936172039255486,1.0,0.5936172039255486,680.4733618853425,780.4733618853425,770.2103233826142,1256661,36.45325452100951,1.2878587085651816e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,44.34033350621735
21,base,baryon,10000000.0,0.05,2.3003306364458274,0.5936172039255486,2.0,1.1872344078510972,607.4500654259151,707.4500654259151,754.6227437797752,1144859,33.24594099598471,3.481659405224491e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,39.58206154423574
22,base,baryon,10000000.0,0.16,2.3003306364458274,0.5936172039255486,0.0,0.0,272.90835182639455,372.90835182639455,18266.03838384927,2053447,59.683757335005794,9.414691248821327e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,17.782984631591482
23,base,baryon,10000000.0,0.16,2.3003306364458274,0.5936172039255486,0.5,0.2968086019627743,669.8879661226691,769.8879661226691,678.5540916607283,1927760,55.819996163016185,2.2648549702353193e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,43.65057839646285
24,base,baryon,10000000.0,0.16,2.3003306364458274,0.5936172039255486,1.0,0.5936172039255486,1014.6409136878583,1114.6409136878583,1100.6227222677287,1891815,54.74192054296145,9.894307595459395e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,66.11502965718343
25,base,baryon,10000000.0,0.16,2.3003306364458274,0.5936172039255486,2.0,1.1872344078510972,1247.2116055487486,1347.2116055487486,1534.1194830671736,1743839,50.516440844978206,8.233413950620161e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,81.26957150774474
26,base,control,100000000.0,0.0,4.924963702897868,0.5951686768330706,0.0,0.0,18.00014946038236,118.00014946038236,189.1416949833126,659746,20.260750372952316,2.3092638912203256e-14,284,23207.944168063892,139.24766500838336,3.9200662204075956,1.0
27,base,baryon,100000000.0,0.01,4.924963702897868,0.5951686768330706,0.0,0.0,106.33692149564556,206.33692149564556,799.9583564627719,1156731,35.377837929001544,2.930988785010413e-14,284,23207.944168063892,139.24766500838336,3.9200662204075956,5.907557697211851
28,base,baryon,100000000.0,0.01,4.924963702897868,0.5951686768330706,0.5,0.2975843384165353,168.8942911787559,268.8942911787559,190.14003838879802,1103704,33.801138783979695,5.417888360170764e-14,284,23207.944168063892,139.24766500838336,3.9200662204075956,9.382938266734161
29,base,baryon,100000000.0,0.01,4.924963702897868,0.5951686768330706,1.0,0.5951686768330706,132.74216969152113,232.74216969152113,189.38265466943795,1061807,32.51696947403252,3.108624468950438e-14,284,23207.944168063892,139.24766500838336,3.9200662204075956,7.374503749742832
30,base,baryon,100000000.0,0.01,4.924963702897868,0.5951686768330706,2.0,1.1903373536661412,82.1425105896495,182.1425105896495,189.20156938327992,987072,30.26527181197889,3.9968028886505635e-14,284,23207.944168063892,139.24766500838336,3.9200662204075956,4.563434918717871
31,base,baryon,100000000.0,0.05,4.924963702897868,0.5951686768330706,0.0,0.0,75.34867985805502,175.34867985805502,3371.558442557322,2404514,73.02358496305533,1.2168044349891716e-12,284,23207.944168063892,139.24766500838336,3.9200662204075956,4.186003012024682
32,base,baryon,100000000.0,0.05,4.924963702897868,0.5951686768330706,0.5,0.2975843384165353,376.6421235712441,476.6421235712441,407.83706810465986,2075241,63.15658799599623,1.1031175972675555e-12,284,23207.944168063892,139.24766500838336,3.9200662204075956,20.924388678006203
33,base,baryon,100000000.0,0.05,4.924963702897868,0.5951686768330706,1.0,0.5951686768330706,411.43747250927333,511.43747250927333,250.1383281260438,1967294,59.61943996098125,5.755396159656812e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,22.857447568134447
34,base,baryon,100000000.0,0.05,4.924963702897868,0.5951686768330706,2.0,1.1903373536661412,314.53946721269125,414.53946721269125,217.63880432792885,1777321,54.01312871801201,9.237055564881302e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,17.47426975009183
35,base,baryon,100000000.0,0.16,4.924963702897868,0.5951686768330706,0.0,0.0,181.53710757751202,281.537107577512,79004.3640169793,4299309,128.86691756302025,7.904787935331115e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,10.085311123503072
36,base,baryon,100000000.0,0.16,4.924963702897868,0.5951686768330706,0.5,0.2975843384165353,634.5127884787411,734.5127884787411,978.484051204251,3525090,106.0747094200342,9.965361869035405e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,35.25041777432345
