task_id,boundary_protocol,halo_mass_msun,halo_redshift,halo_concentration,halo_scale_radius_pc,halo_scale_density_msun_pc3,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,dark_accreted_halo_fraction,mass_budget_residual_code,r_min_pc,r_min_over_rs,r_min_over_influence_radius,cells,steps
15,scaled_rmin,1000000000.0,10.0,4.0,706.2508057738596,0.27908064948095673,14359.335779835761,13969.232517358205,290.1032624778421,0.9796552050560592,1.3969232517358204e-05,2.930988785010413e-14,0.1177084676289766,0.00016666666666666666,416.6666666666667,256,114953
16,scaled_rmin,1000000000.0,15.0,4.0,485.7257725723944,0.857893052580555,35419.2616455835,34674.92346894194,644.3381766414809,0.9817567483967453,3.467492346894194e-05,5.1514348342607263e-14,0.0809542954287324,0.00016666666666666666,416.6666666666667,256,217003
17,scaled_rmin,1000000000.0,20.0,4.0,370.11329300741534,1.9391104348624442,70403.71353290424,69121.45689220347,1182.256640699721,0.983183581900728,6.912145689220346e-05,3.197442310920451e-14,0.06168554883456922,0.00016666666666666666,416.6666666666667,256,357396
18,scaled_rmin,1000000000.0,25.0,4.0,298.9487273483564,3.67973435232109,122362.71817664606,120335.86396716743,1926.8542094734698,0.9842400509475449,0.00012033586396716743,8.171241461241152e-14,0.049824787891392726,0.00016666666666666666,416.66666666666663,256,540606
19,scaled_rmin,1000000000.0,30.0,4.0,250.73543019672803,6.236766360950961,193558.05501632544,190563.36639774445,2894.6886185757457,0.9850371253947698,0.00019056336639774446,9.50350909079134e-14,0.041789238366121334,0.00016666666666666666,416.66666666666663,256,770865
0,fixed_rmin,1000000.0,10.0,4.0,70.62508057738597,0.27908064948095657,291.3029462805143,184.43047310091225,6.872473179620412,0.9640754451866901,0.00018443047310091225,1.4477308241112041e-13,0.005,7.07963794040752e-05,0.176990948510188,272,706336
1,fixed_rmin,1000000.0,15.0,4.0,48.57257725723945,0.8578930525805544,547.9091241706983,437.9393500838434,9.9697740868548,0.9777415249012533,0.0004379393500838434,1.4832579608992091e-13,0.005,0.00010293874202968671,0.2573468550742168,265,841829
2,fixed_rmin,1000000.0,20.0,4.0,37.01132930074154,1.9391104348624437,924.2422736869745,810.0229886547206,14.21928503224801,0.9827486583906349,0.0008100229886547206,2.2737367544323206e-13,0.005,0.0001350937697852377,0.33773442446309426,260,989602
3,fixed_rmin,1000000.0,25.0,4.0,29.89487273483564,3.67973435232109,1419.9143184766517,1300.0826236653363,19.831694811296757,0.9849750135037525,0.0013000826236653363,4.82280881897168e-13,0.005,0.00016725276084462613,0.4181319021115653,256,1147891
4,fixed_rmin,1000000.0,30.0,4.0,25.073543019672805,6.236766360950959,2029.906034529146,1902.8902560509512,27.015778478191148,0.9860015057754944,0.0019028902560509512,7.922551503725117e-13,0.005,0.00019941338151042236,0.49853345377605585,253,1318211
5,fixed_rmin,10000000.0,10.0,4.0,152.15712358221734,0.2790806494809567,170.8775975972294,65.34947026663559,5.5281273306025005,0.9220045893484136,6.534947026663559e-06,2.575717417130363e-13,0.005,3.2860768410216926e-05,0.8215192102554231,286,751416
6,fixed_rmin,10000000.0,15.0,4.0,104.6464454272504,0.8578930525805546,253.10961711979348,146.29521741502862,6.814399704774102,0.9554933267226887,1.4629521741502861e-05,2.2737367544323206e-13,0.005,4.777993155511404e-05,1.1944982888778506,279,894500
