task_id,model_label,cross_section_model,sigma0_over_m_cm2_g,velocity_scale_km_s,effective_sigma_at_virial_dispersion_cm2_g,smfp_effective_sigma_at_virial_dispersion_cm2_g,r_min_over_reference_influence,cells,final_black_hole_mass_msun,time_to_1e7_msun_myr,dark_matter_accreted_msun,initial_inner_effective_sigma_cm2_g,final_inner_effective_sigma_cm2_g,initial_inner_smfp_effective_sigma_cm2_g,final_inner_smfp_effective_sigma_cm2_g,mass_budget_residual_code,steps
13,rutherford_sigma1_w300,rutherford,1.0,300.0,0.7841665455953533,0.7291643777664004,0.10416666666666667,269,8919129.187225966,nan,8658856.217953844,0.28381788099927274,0.07384000244093009,0.21320921712376228,0.04614665379437307,1.1437073510478513e-11,30404235
14,rutherford_sigma3_w10,rutherford,3.0,10.0,0.0026458184153418437,0.00121426263605611,0.20833333333333334,256,180747.47307930334,nan,78656.40598812231,0.0001960985390343084,1.2351542541429668e-06,8.260244452321973e-05,4.769398741227908e-07,4.858335955759685e-13,4631735
15,rutherford_sigma3_w10,rutherford,3.0,10.0,0.0026458184153418437,0.00121426263605611,0.10416666666666667,269,959192.6219324005,nan,845778.7840926325,5.822218033357064e-05,1.1052241885515926e-06,2.3849028815912887e-05,4.262414088817328e-07,7.078782005009998e-13,10772642
16,rutherford_sigma3_w30,rutherford,3.0,30.0,0.06998206030487095,0.03910170868774724,0.20833333333333334,256,3793911.685860873,nan,3628686.1519379513,0.007468676643086463,4.960031000798166e-05,0.0035974543214521595,2.0251105331703916e-05,4.476419235288631e-13,7435777
17,rutherford_sigma3_w30,rutherford,3.0,30.0,0.06998206030487095,0.03910170868774724,0.10416666666666667,269,2919648.9416821785,nan,2769417.8669553404,0.0024807199972409696,3.9017894554002836e-05,0.0011354431262728193,1.585537109744573e-05,2.830624623584299e-12,18527177
18,rutherford_sigma3_w100,rutherford,3.0,100.0,0.8768317250355889,0.6619650775021836,0.20833333333333334,256,7694831.759317464,nan,7433626.3973992,0.2035004745489763,0.01206441020295471,0.1259890520660639,0.005964574453159418,7.984723993104126e-13,11334495
19,rutherford_sigma3_w100,rutherford,3.0,100.0,0.8768317250355889,0.6619650775021836,0.10416666666666667,269,6653664.1455399,nan,6415878.514985313,0.08752469594752926,0.01145088524661473,0.049859102062468796,0.005644485572061952,4.8903103788688895e-12,29299330
20,rutherford_sigma3_w300,rutherford,3.0,300.0,2.3524996367860598,2.1874931332992014,0.20833333333333334,256,12064085.80674804,1.68,11796202.332136793,1.3344201652474204,0.12488961249551667,1.0883563227325708,0.07352895839484855,1.2114753644709708e-12,10717831
21,rutherford_sigma3_w300,rutherford,3.0,300.0,2.3524996367860598,2.1874931332992014,0.10416666666666667,269,8987569.59244535,nan,8775360.797262745,0.8514536429978182,0.07823775867041044,0.6396276513712869,0.044132661613482865,1.6279422254683595e-11,24653704
22,rutherford_sigma10_w10,rutherford,10.0,10.0,0.008819394717806146,0.004047542120187033,0.20833333333333334,256,1933420.532402784,nan,1815475.470186565,0.0006536617967810279,3.5443657220365074e-06,0.0002753414817440658,1.3663404894945503e-06,6.812328479099961e-13,5074055
23,rutherford_sigma10_w10,rutherford,10.0,10.0,0.008819394717806146,0.004047542120187033,0.10416666666666667,269,1253806.3528842404,nan,1136247.511910088,0.00019407393444523545,3.07754373815365e-06,7.949676271970961e-05,1.1845626919470272e-06,6.883382752675971e-13,11901051
