task_id,halo_redshift,baryon_fraction,scale_radius_over_rs,assembly_time_myr,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,mass_budget_residual_code,steps
17,10.0,0.05,0.03,1.5,229252.84272061283,2.292528427206128,123208.08943244969,6044.753288148588,0.9532331114664209,7.37188088351104e-14,515442
18,10.0,0.16,0.003,0.2,1712514.5982628427,17.12514598262843,1583365.1810088998,29149.417253908352,0.9819230056674554,2.078337502098293e-13,1802875
19,10.0,0.16,0.003,0.65,1831798.3309008344,18.317983309008344,1701466.1634433644,30332.167457493037,0.9824851618596422,1.438849039914203e-13,1710786
20,10.0,0.16,0.003,1.5,1768890.5377131393,17.688905377131395,1642549.5827702272,26340.954942884084,0.9842164873323527,5.213607323639735e-13,1473676
21,10.0,0.16,0.01,0.2,449420.6406438075,4.4942064064380745,340649.8631632456,8770.777480545641,0.9748990859143246,2.113864638886298e-13,869123
22,10.0,0.16,0.01,0.65,576359.2731205199,5.7635927312051995,465671.88368554745,10687.389434970773,0.9775644350009985,2.1938006966593093e-13,866559
23,10.0,0.16,0.01,1.5,660704.3986390111,6.607043986390111,549428.467745252,11275.930893749728,0.979889704947689,2.495781359357352e-13,809948
24,10.0,0.16,0.03,0.2,183414.58894933763,1.8341458894933762,77769.69574245323,5644.893206876223,0.9323272669926737,8.970602038971265e-14,559023
25,10.0,0.16,0.03,0.65,230634.5919055167,2.306345919055167,124138.78478918536,6495.807116346686,0.9502749844311565,3.552713678800501e-14,573387
26,10.0,0.16,0.03,1.5,264983.7487156841,2.6498374871568413,158265.47418147544,6718.274534203552,0.9592791739398149,5.950795411990839e-14,563914
27,20.0,0.01,0.003,0.2,919026.6276612405,9.190266276612405,800824.9143121102,18201.713349181227,0.9777764083188528,1.021405182655144e-13,2384645
28,20.0,0.01,0.003,0.65,975570.050341997,9.75570050341997,857264.9745452855,18305.075796738445,0.979093533647523,2.637889906509372e-13,2335763
29,20.0,0.01,0.003,1.5,711250.1796280649,7.1125017962806485,598653.0935891017,12597.086039016689,0.9793912763401914,1.616484723854228e-13,1946465
30,20.0,0.01,0.01,0.2,629555.2128488966,6.295552128488966,517285.0350493452,12270.17779954589,0.9768292757736433,2.2737367544323206e-13,1858158
31,20.0,0.01,0.01,0.65,597895.4801693048,5.978954801693048,486644.9337426431,11250.546426616083,0.9774037988397967,1.3322676295501878e-13,1772539
32,20.0,0.01,0.01,1.5,394245.61517164647,3.9424561517164647,286225.2207965082,8020.394375123603,0.9727425186252661,1.0480505352461478e-13,1522268
33,20.0,0.01,0.03,0.2,259865.07140809332,2.598650714080933,152801.65859204292,7063.4128160664395,0.9558164097145437,9.414691248821327e-14,1423325
34,20.0,0.01,0.03,0.65,228299.3563359327,2.282993563359327,121941.39691464792,6357.9594212832635,0.9504443389050415,6.661338147750939e-14,1354604
35,20.0,0.01,0.03,1.5,187265.29195381643,1.8726529195381643,81639.73647847476,5625.555475340228,0.9355350179964002,7.194245199571014e-14,1281251
36,20.0,0.05,0.003,0.2,1620189.0722262857,16.201890722262856,1490607.7849449466,29581.28728146909,0.9805410472803768,9.086065233532281e-13,3561578
37,20.0,0.05,0.003,0.65,2097431.6009269464,20.974316009269465,1961197.2404935227,36234.36043325945,0.9818595237921497,9.121592370320286e-13,3624740
38,20.0,0.05,0.003,1.5,2040388.7774306412,20.403887774306412,1909983.0482298152,30405.729200640268,0.9843300839736417,3.703704010149522e-13,3163317
39,20.0,0.05,0.01,0.2,895230.2834979937,8.952302834979937,779902.8841260802,15327.39937194487,0.9807258354089678,2.4513724383723456e-13,2218178
40,20.0,0.05,0.01,0.65,1241969.5200404606,12.419695200404606,1122610.4469360549,19359.073104510775,0.9830476446484142,1.5720758028692217e-13,2363895
41,20.0,0.05,0.01,1.5,1102379.5524397641,11.023795524397642,986419.2157148082,15960.336724971641,0.9840775515760383,1.5365486660812167e-13,2112979
42,20.0,0.05,0.03,0.2,370555.16517965327,3.7055516517965326,261752.91388165386,8802.25129801185,0.9674659646872587,3.552713678800501e-13,1636740
43,20.0,0.05,0.03,0.65,421394.1584935635,4.213941584935634,312314.9540151707,9079.204478379777,0.9717505616127289,2.327027459614328e-13,1639864
44,20.0,0.05,0.03,1.5,334118.4063264171,3.341184063264171,226668.91918423618,7449.487142192085,0.9681806857518304,1.6431300764452317e-13,1490104
45,20.0,0.16,0.003,0.2,2482258.72946805,24.8225872946805,2336743.9893242153,45514.74014374978,0.98089429179928,7.194245199571014e-13,5373288
46,20.0,0.16,0.003,0.65,3337102.7871876145,33.371027871876144,3179285.784104234,57817.00308398283,0.9821392748749842,2.042810365310288e-13,5357885
47,20.0,0.16,0.003,1.5,3674406.1355397888,36.74406135539789,3520558.208824343,53847.926715691356,0.9849351403635855,1.2443379659998755e-12,4712061
48,20.0,0.16,0.01,0.2,1041822.4510422788,10.418224510422787,924573.9441709939,17248.50687128653,0.9816860313191763,3.1441516057384433e-13,2792519
49,20.0,0.16,0.01,0.65,1659999.7729286803,16.5999977292868,1534935.0089551103,25064.763973515946,0.9839328412679738,6.954437026251981e-13,2985776
50,20.0,0.16,0.01,1.5,1889610.8115917433,18.896108115917432,1764344.6509980238,25266.160593810295,0.9858817568434073,1.113775738303957e-12,2784565
51,20.0,0.16,0.03,0.2,347129.6427625719,3.4712964276257194,238461.19491339117,8668.447849160948,0.964923480031455,4.511946372076636e-13,1754641
52,20.0,0.16,0.03,0.65,527096.8165789095,5.270968165789095,416186.2408778512,10910.57570103325,0.9744540926611133,1.1901590823981678e-13,1871918
53,20.0,0.16,0.03,1.5,526665.5734406472,5.266655734406473,416717.6921039206,9947.88133670282,0.9766845933771818,1.5276668818842154e-13,1751680
54,30.0,0.01,0.003,0.2,1367497.2638870652,13.674972638870653,1240212.5593650015,27284.70452201882,0.9784735594312929,1.2079226507921703e-13,5045776
55,30.0,0.01,0.003,0.65,1424611.4370024665,14.246114370024666,1298414.2140292665,26197.2229732341,0.9802227111729587,2.0961010704922955e-13,4832815
56,30.0,0.01,0.003,1.5,956511.620810684,9.56511620810684,840097.7355824411,16413.885228299903,0.9808363543127327,3.801403636316536e-13,3873315
57,30.0,0.01,0.01,0.2,1081477.1000523544,10.814771000523544,962143.890579649,19333.20947276512,0.9803019250559447,4.2454928461665986e-13,4033657
58,30.0,0.01,0.01,0.65,962594.1536773867,9.625941536773867,846171.5036888368,16422.649988481673,0.9809613247220176,2.1049828546892968e-13,3714453
59,30.0,0.01,0.01,1.5,579850.9454796464,5.798509454796465,469312.5848401919,10538.360639468834,0.978038262217196,1.2256862191861728e-13,3054425
60,30.0,0.01,0.03,0.2,400725.7557402144,4.007257557402144,291214.90333491215,9510.852405326868,0.9683736686207939,4.3520742565306136e-14,2910883
61,30.0,0.01,0.03,0.65,323003.63541644975,3.2300363541644974,215018.77348237453,7984.86193408679,0.9641940279620831,3.2862601528904634e-14,2685937
62,30.0,0.01,0.03,1.5,235693.48067996814,2.3569348067996816,129167.11144540916,6526.369234586471,0.9519035903430662,4.973799150320701e-14,2452241
63,30.0,0.05,0.003,0.2,2435547.835727241,24.35547835727241,2289351.667919799,46196.167807534504,0.980220414627878,6.23945339839338e-12,7396049
64,30.0,0.05,0.003,0.65,3662016.7548140087,36.62016754814009,3498831.160244987,63185.59456948436,0.9822612865356044,4.054534485931072e-12,7857828
65,30.0,0.05,0.003,1.5,3350988.2134096124,33.509882134096124,3202955.6906239605,48032.52278600419,0.985225254712543,6.8967054289714724e-12,6615385
66,30.0,0.05,0.01,0.2,1760870.9421485604,17.608709421485603,1632992.7911425517,27878.151006200613,0.9832147397497697,7.913669719528116e-13,5011118
67,30.0,0.05,0.01,0.65,2549291.392161644,25.49291392161644,2413352.1704969127,35939.22166451514,0.9853266860040638,6.181721801112872e-13,5385603
68,30.0,0.05,0.01,1.5,1982883.094197965,19.82883094197965,1857181.2546721061,25701.83952607006,0.9863497422622477,1.1226575225009583e-12,4539612
69,30.0,0.05,0.03,0.2,748873.5337803585,7.488735337803585,634497.0974989114,14376.436281335373,0.9778440088352973,8.943956686380261e-13,3597380
70,30.0,0.05,0.03,0.65,813615.0428887935,8.136150428887936,699549.4264093619,14065.616479406013,0.9802896300749316,7.673861546209082e-13,3509183
71,30.0,0.05,0.03,1.5,548509.5503608793,5.485095503608793,438343.68750019325,10165.86286069448,0.977334121753915,5.755396159656812e-13,3034886
72,30.0,0.16,0.003,0.2,3582258.0148726315,35.82258014872632,3412859.0817754637,69398.93309786898,0.9800707090626924,1.2319034681240737e-12,10766708
73,30.0,0.16,0.003,0.65,5896797.894822721,58.96797894822721,5692504.350882318,104293.54394044238,0.982008421574685,4.698463840213662e-13,11328703
74,30.0,0.16,0.003,1.5,6956695.707989473,69.56695707989473,6757414.091040134,99281.61694961769,0.9855204866633275,8.72191208145523e-13,10067590
75,30.0,0.16,0.01,0.2,2093598.9942596105,20.935989942596105,1961014.3525957717,32584.64166383152,0.9836553681268583,4.920508445138694e-13,6110953
76,30.0,0.16,0.01,0.65,3760478.0307427575,37.604780307427575,3607677.8579212083,52800.17282107915,0.9855756072354201,1.7390533457728452e-12,6910280
77,30.0,0.16,0.01,1.5,4080998.521998022,40.80998521998022,3931804.3332952117,49194.188702493964,0.9876427513270916,8.766321002440236e-13,6298262
78,30.0,0.16,0.03,0.2,773052.8963381802,7.7305289633818015,657716.8065500229,15336.089788210558,0.9772141389308404,1.2168044349891716e-13,3920749
79,30.0,0.16,0.03,0.65,1275987.994522105,12.75987994522105,1155694.2247598527,20293.76976220367,0.9827432168893023,6.679101716144942e-13,4253900
80,30.0,0.16,0.03,1.5,1085329.296573028,10.85329296573028,969201.6800106181,16127.616562321084,0.9836322571362673,4.733990977001667e-13,3770787
