task_id,design,axis,axis_value,model_label,cross_section_model,sigma0_over_m_cm2_g,velocity_scale_km_s,halo_mass_msun,halo_redshift,halo_concentration,black_hole_seed_msun,scale_radius_over_rs,assembly_time_myr,initial_dynamical_time_myr,assembly_over_dynamical_time,r_min_over_reference_influence,cells,final_black_hole_mass_msun,growth_factor,reaches_1e7,time_to_1e7_msun_myr,dark_fraction_of_growth,initial_inner_lmfp_effective_sigma_cm2_g,final_inner_lmfp_effective_sigma_cm2_g,initial_inner_smfp_effective_sigma_cm2_g,final_inner_smfp_effective_sigma_cm2_g,mass_budget_residual_code,steps
25,main_effect,assembly_time_myr,1.0,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.02,1.0,0.4701314950984624,2.1270644711658044,0.20833333333333334,256,17054666.34029876,170.5466634029876,True,1.48,0.9872680317186362,1.0,1.0,1.0,1.0,3.431921413721284e-12,11599862
26,main_effect,assembly_time_myr,1.5,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.02,1.5,0.4701314950984624,3.190596706748707,0.20833333333333334,256,16260213.031983158,162.6021303198316,True,1.6,0.9890016063007514,1.0,1.0,1.0,1.0,5.0883741664620175e-12,10338753
27,main_effect,assembly_time_myr,1.75,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.02,1.75,0.4701314950984624,3.722362824540158,0.20833333333333334,256,15313851.46782057,153.1385146782057,True,1.67,0.9897863852032887,1.0,1.0,1.0,1.0,2.134292742539401e-12,9631935
28,latin_hypercube,joint,0.0,constant_sigma1,constant,1.0,0.0,363986311.1441286,17.45054101270017,7.731458952345833,5189.671060060451,0.021466365331530575,0.34212100129501,1.1184047088360987,0.3059008949014963,0.20833333333333334,237,6010.233610481724,1.1581145588853015,False,nan,0.9949381673938222,1.0,1.0,1.0,1.0,2.184918912462308e-13,882094
29,latin_hypercube,joint,1.0,constant_sigma1,constant,1.0,0.0,251807452.8061012,18.964906236544167,11.420421989215692,387.43856700919684,0.07827918692926719,0.5369206997141529,1.0661433688133646,0.5036102229963261,0.20833333333333334,230,394.9230172642169,1.0193177729124794,False,nan,0.9976962033522437,1.0,1.0,1.0,1.0,1.2434497875801753e-14,196975
30,latin_hypercube,joint,2.0,constant_sigma1,constant,1.0,0.0,7300072597.978582,19.550738870083315,11.022119754494526,7259.258422489268,0.029606525691442336,1.3608066261268874,0.7542378187360068,1.8042142575234452,0.20833333333333334,293,7925.288347958674,1.0917490309211253,False,nan,0.9920875102414211,1.0,1.0,1.0,1.0,9.174883075502294e-13,6699804
31,latin_hypercube,joint,3.0,constant_sigma1,constant,1.0,0.0,3495812758.551744,22.11810369684752,11.14867704832373,1152.5527728723223,0.019046690701619864,0.4390903281412285,0.47660418204596977,0.9212892892720715,0.20833333333333334,279,1219.68401387116,1.0582456982265005,False,nan,0.9974824908971915,1.0,1.0,1.0,1.0,3.561595462997502e-13,6424911
32,latin_hypercube,joint,4.0,constant_sigma1,constant,1.0,0.0,727920048.1819899,18.12362802015318,10.32921357912742,64763.56789132588,0.006973562442957025,1.5097133127601117,0.37966764616148735,3.976407597601751,0.20833333333333334,250,121552.57599787311,1.876866577237374,False,nan,0.982853526409202,1.0,1.0,1.0,1.0,4.778399897986674e-13,3402101
33,latin_hypercube,joint,5.0,constant_sigma1,constant,1.0,0.0,1112520944.7188535,24.33170651727848,7.158655234882939,7529.685561510739,0.02869934156081333,0.7629191712183623,0.9107443484820597,0.837687516249672,0.20833333333333334,258,9333.285029185443,1.2395318440512453,False,nan,0.9953474671566034,1.0,1.0,1.0,1.0,1.5543122344752192e-13,1756650
34,latin_hypercube,joint,6.0,constant_sigma1,constant,1.0,0.0,610321080.66264,24.024788870124688,9.189414448802559,16842.282649190827,0.0061855523457104294,0.6003863262157573,0.28378581021381716,2.11563194707797,0.20833333333333334,247,21034.2123325772,1.2488932035342473,False,nan,0.9887540987884721,1.0,1.0,1.0,1.0,1.2612133559741778e-12,5169760
35,latin_hypercube,joint,7.0,constant_sigma1,constant,1.0,0.0,784383391.5651248,25.83955421998221,4.232263169406632,506.4357934848854,0.009382083724801586,1.737065722984784,0.7984398923090933,2.1755748174871106,0.20833333333333334,251,531.0934740979864,1.048688660893075,False,nan,0.9991709675373528,1.0,1.0,1.0,1.0,5.835332217429823e-13,2952659
36,latin_hypercube,joint,8.0,constant_sigma1,constant,1.0,0.0,126280982.26141337,18.32503838763387,5.564818616033557,11603.124130739936,0.05648141794265815,0.7908913484252418,2.643698743283036,0.29916092006878425,0.20833333333333334,218,17296.545452116035,1.4906800321382951,False,nan,0.9955210328039827,1.0,1.0,1.0,1.0,1.0658141036401503e-14,98567
37,latin_hypercube,joint,9.0,constant_sigma1,constant,1.0,0.0,115308552.65046664,20.485726129285297,8.115140315586997,32729.05742804086,0.02289116630897121,1.3362000104325467,0.8617310602248515,1.5505998009215218,0.20833333333333334,216,62064.31719880413,1.8963062818188607,False,nan,0.99136243664486,1.0,1.0,1.0,1.0,1.509903313490213e-14,323177
38,latin_hypercube,joint,10.0,constant_sigma1,constant,1.0,0.0,2286887832.3124833,29.348556121200808,4.094957314804988,85823.71165173,0.016472245098852506,1.0380407214356973,0.9429440793324833,1.100850775976592,0.20833333333333334,271,3219326.6685366984,37.510923340167665,False,nan,0.9941211579741922,1.0,1.0,1.0,1.0,3.5411673593443993e-12,9741492
39,latin_hypercube,joint,11.0,constant_sigma1,constant,1.0,0.0,659437543.7726965,24.83430414288211,7.376089219015792,43238.11171977849,0.04826468481077741,0.7864664338252743,1.2001805053429817,0.6552901253803666,0.20833333333333334,248,107161.61291131824,2.4784064023383126,False,nan,0.9883486948235214,1.0,1.0,1.0,1.0,8.526512829121202e-14,1980317
40,latin_hypercube,joint,12.0,constant_sigma1,constant,1.0,0.0,285828546.0824566,15.58275316678461,10.851781587971237,968.9574131258253,0.020135855710255595,1.1882620258415684,0.8378484383748476,1.4182302805820213,0.20833333333333334,233,1023.5848809147735,1.056377573512464,False,nan,0.9982719520740846,1.0,1.0,1.0,1.0,1.341149413747189e-13,679446
41,latin_hypercube,joint,13.0,constant_sigma1,constant,1.0,0.0,139038378.77136952,20.04334442699453,11.708644023614351,4056.940715529643,0.021867841563900325,0.3873209729917774,0.5597055942612866,0.692008400421606,0.20833333333333334,219,4465.046840465014,1.1005945498225234,False,nan,0.9943774706668765,1.0,1.0,1.0,1.0,3.108624468950438e-14,567520
42,latin_hypercube,joint,14.0,constant_sigma1,constant,1.0,0.0,1685575835.6354733,19.69163121605412,11.958058418989342,14601.121207368024,0.016081511206882962,0.8352874155549519,0.4671677605708348,1.7879817188889697,0.20833333333333334,266,19329.29435022595,1.3238226075729032,False,nan,0.9921871981137589,1.0,1.0,1.0,1.0,4.709121981250064e-12,10671158
43,latin_hypercube,joint,15.0,constant_sigma1,constant,1.0,0.0,7783087575.6987295,15.009882555147295,6.26923464594924,3430.6473624694436,0.012632799433078205,0.4814340942588141,1.304757381299564,0.36898361424044696,0.20833333333333334,294,3719.181020727971,1.0841047265350046,False,nan,0.9946122660110251,1.0,1.0,1.0,1.0,3.645972412869014e-13,5996045
