source_task_id,design,axis,model_label,halo_mass_msun,halo_redshift,halo_concentration,black_hole_seed_msun,scale_radius_over_rs,assembly_time_myr,assembly_over_dynamical_time,screen_final_mass_msun,small_boundary_final_mass_msun,grid_final_mass_msun,boundary_relative_difference,grid_relative_difference,terminal_mass_passes_five_percent,threshold_classification,small_boundary_time_to_1e7_msun_myr
51,latin_hypercube,joint,constant_sigma1,166166440.9218692,17.878873841943573,9.522832028072857,54895.50486335944,0.0064475691900350565,0.9253910228726866,2.5406313906872997,70819.66429033091,83368.53245785435,nan,0.16277339552803527,nan,False,robust_failure,nan
56,latin_hypercube,joint,constant_sigma1,536870947.6626914,20.684579991140417,4.416168409487867,39782.06679282038,0.07068391480696036,1.1691385444099063,0.40406743960027236,84335.96835875523,98167.3010860169,nan,0.15157353366151302,nan,False,robust_failure,nan
62,latin_hypercube,joint,constant_sigma1,1329674503.6287916,25.637513204793017,6.409156476656941,89780.07049735737,0.019483729856560685,0.7408909542447852,0.9780268905607464,11820734.234380476,9088249.103886973,11906451.42905772,0.2613694875821658,0.007225230660990423,False,boundary_ambiguous,nan
68,latin_hypercube,joint,constant_sigma1,146002002.5042165,16.23740369143555,9.274991767598284,67794.19877083761,0.0688800051573276,1.4213830724552465,0.8342782405309609,1070745.7227696963,789513.9022437079,nan,0.3023576029329368,nan,False,robust_failure,nan
86,latin_hypercube,joint,constant_sigma1,915829176.116028,26.8374356259621,10.956875608884282,76227.02740580199,0.038266009122837966,1.0499821691859914,1.8501447409007252,17173920.250578884,14707089.221146757,nan,0.15475237894332608,nan,False,robust_success,1.8
92,main_effect,baseline,vd_low_transport,1000000000.0,30.0,8.0,100000.0,0.02,1.25,2.658830588957256,2638472.928075473,1815871.6921528475,nan,0.369347819289501,nan,False,robust_failure,nan
95,main_effect,halo_mass_msun,vd_low_transport,3000000000.0,30.0,8.0,100000.0,0.02,1.25,2.647889347960838,2361791.2769926107,1405730.0090486924,nan,0.5075279980427094,nan,False,robust_failure,nan
102,main_effect,halo_concentration,vd_low_transport,1000000000.0,30.0,10.0,100000.0,0.02,1.25,3.486303257389166,4015148.774182277,2776043.6022725254,4063984.3219772475,0.3649153501248922,0.01208930394232149,False,robust_failure,nan
103,main_effect,halo_concentration,vd_low_transport,1000000000.0,30.0,12.0,100000.0,0.02,1.25,4.3671526259918325,5536172.528304674,3824356.1809391775,5610725.721275362,0.36575206391387216,0.013376491163987663,False,robust_failure,nan
111,main_effect,scale_radius_over_rs,vd_low_transport,1000000000.0,30.0,8.0,100000.0,0.01,1.25,4.00887650306842,3372877.126899457,2574282.672652351,3424078.6749383532,0.26856330791961897,0.015066023535139635,False,robust_failure,nan
116,main_effect,assembly_time_myr,vd_low_transport,1000000000.0,30.0,8.0,100000.0,0.02,0.75,1.5952983533743534,2510050.2332964307,1770455.788404777,nan,0.34556402497371824,nan,False,robust_failure,nan
