task_id,configuration,gas_regime,gas_density_msun_pc3,assembly_time_myr,feedback_efficiency,feedback_heating_fraction,metallicity_solar,final_black_hole_mass_msun,ceiling_mass_retention_fraction,matched_mass_retention_fraction,dark_matter_accreted_msun,dark_accretion_retention_fraction,matched_dark_retention_fraction,baryon_accreted_onto_bh_msun,limiter_history,first_eddington_time_myr,final_bondi_to_eddington_ratio,final_density_fraction,final_sound_speed_km_s,scale_radius_expansion_factor,feedback_binding_energy_erg,expansion_feedback_to_binding_ratio,total_feedback_to_binding_ratio,retained_thermal_energy_fraction,minimum_cooling_time_myr,mass_budget_residual_code,steps
13,timing_control,transition,0.3,1.5,0.01,0.5,0.0,6900131.0668591205,0.9845960093058279,0.9918690361768461,6705190.109095687,0.9857523227232643,0.9922716025330321,94940.95776429995,eddington_at_end,0.79,9.258852343945936,0.8790590019598423,12.815795867363892,1.0436747616946145,1.0560858575299951e+57,0.08925700819830981,0.17851401639664216,0.0019502502509202296,0.0013191269767467424,8.22453216642316e-13,10018338
14,mixed_sweep,dense,300.0,1.25,0.0,0.5,0.0,7007921.160448536,0.999976832505053,0.999976832505053,6802001.1754422365,0.9999848399172172,0.9999848399172172,105919.98500590392,eddington_at_end,0.04,22500.293246375983,0.9992644445485702,10.0,1.0,1.0560858575299951e+57,0.0,0.0,0.0,0.004173410895872149,7.034373084024992e-13,10573627
15,mixed_sweep,dense,300.0,1.25,1e-05,0.5,0.0,7007869.963083407,0.9999695270320258,0.9999695270320258,6801951.544986698,0.9999775435787049,0.9999775435787049,105918.41809666628,eddington_at_end,0.05,22431.55681183475,0.9991152179704509,10.009681134390215,1.0000497873941703,1.0560858575299951e+57,9.957726712508941e-05,0.00019915453425015713,0.00527070806147167,0.003997759895782006,7.451816941284051e-13,10573576
16,mixed_sweep,dense,300.0,1.25,3e-05,0.5,0.0,7007767.850973218,0.9999549564136969,0.9999549564136969,6801852.468882223,0.9999629780707142,0.9999629780707142,105915.3820905701,eddington_at_end,0.05,22309.38836987087,0.9988168883676252,10.026872329890441,1.0001493504665382,1.0560858575299951e+57,0.0002987232386381603,0.0005974464772762001,0.004881038122026187,0.003700834332489491,7.922551503725117e-13,10573466
17,mixed_sweep,dense,300.0,1.25,0.0001,0.5,0.0,7007416.304125863,0.9999047933632221,0.9999047933632221,6801509.46430636,0.9999125518259904,0.9999125518259904,105906.83981966598,eddington_at_end,0.05,21981.384489590706,0.9977739937692391,10.072822884750366,1.0004977080534436,1.0560858575299951e+57,0.0009956638201934936,0.0019913276403867456,0.0039776483671504,0.003013706158863673,8.828493491819245e-13,10573080
18,mixed_sweep,dense,300.0,1.25,0.0003,0.5,0.0,7006439.118428757,0.9997653564266773,0.9997653564266773,6800547.1130977115,0.9997710733706795,0.9997710733706795,105892.00532985583,eddington_at_end,0.05,21399.139206481454,0.9948047275140853,10.152799470156593,1.001492173244173,1.0560858575299951e+57,0.0029865730693366074,0.005973146138672919,0.00279348867340777,0.002115080288593678,1.0471623568264476e-12,10572033
19,mixed_sweep,dense,300.0,1.25,0.001,0.5,0.0,7003061.088718577,0.9992833373838892,0.9992833373838892,6797209.793510052,0.9992804429065645,0.9992804429065645,105851.29520802863,eddington_at_end,0.05,20361.870730560033,0.9845321854669764,10.285045826458177,1.0049633905156312,1.0560858575299951e+57,0.009951416276673015,0.019902832553349625,0.001574232001916105,0.001191460295433579,1.6999734953060397e-12,10568420
20,mixed_sweep,dense,300.0,1.25,0.003,0.5,0.0,6993526.44829014,0.9979228170075308,0.9979228170075308,6787783.660167972,0.9978946756598386,0.9978946756598386,105742.78812123419,eddington_at_end,0.06,18878.89563932465,0.9561734501656306,10.44058782323935,1.0148022691849856,1.0560858575299951e+57,0.029823645542995585,0.05964729108598977,0.0008181414949920936,0.0006192312840410272,1.021405182655144e-12,10558250
21,mixed_sweep,dense,300.0,1.25,0.01,0.5,0.0,6961247.296877097,0.9933168286057007,0.9933168286057007,6755869.141567899,0.9932028160217441,0.9932028160217441,105378.15531059254,eddington_at_end,0.06,16071.364993617344,0.8672502337929744,10.647126643919009,1.048365083799442,1.0560858575299951e+57,0.09906934892981109,0.198138697859621,0.00036540456823109255,0.0002768222494767371,2.282618538629322e-12,10523795
22,timing_control,dense,300.0,1.0,0.0,0.5,0.0,6782439.385002321,0.9678023050758816,0.9999820366596006,6573169.76116814,0.9663435718155492,0.999988648755004,109269.62383446784,eddington_at_end,0.04,21775.83325136848,0.9992411831678163,10.0,1.0,1.0560858575299951e+57,0.0,0.0,0.0,0.0041730825637963116,8.189005029635155e-13,10998441
23,timing_control,dense,300.0,1.0,0.001,0.5,0.0,6778215.573046175,0.9671995993655432,0.9993592907944899,6569010.270445485,0.9657320712354774,0.9993558576270721,109205.30260179267,eddington_at_end,0.04,19721.575449781405,0.9840483508060438,10.281021053723986,1.005120260047879,1.0560858575299951e+57,0.010266737158715206,0.020533474317428586,0.0015040042296231941,0.0012132980618366905,1.4486190025309043e-12,10992943
24,timing_control,dense,300.0,1.0,0.01,0.5,0.0,6741785.086178549,0.9620012470966695,0.9939880916747535,6533042.824866717,0.9604443773081125,0.9938840626468236,108742.2613117875,eddington_at_end,0.05,15517.793338584053,0.8635000420886634,10.642458038554357,1.0498723978520639,1.0560858575299951e+57,0.10223205177164245,0.20446410354328703,0.0003514579130762716,0.0002836998756208327,1.0436096431476471e-12,10945667
25,timing_control,dense,300.0,1.5,0.0,0.5,0.0,6956490.868532955,0.9926381226042039,0.9999705550644852,6757280.518104131,0.9934103071854832,0.999980233128501,99210.35042906104,eddington_at_end,0.05,22336.20776206325,0.9993110392331316,10.0,1.0,1.0560858575299951e+57,0.0,0.0,0.0,0.004173835875282407,5.702105454474804e-13,10067281
26,timing_control,dense,300.0,1.5,0.001,0.5,0.0,6951369.181014566,0.9919072969079012,0.9992343308952281,6752227.764224088,0.9926674850145435,0.9992324982979919,99141.41679217335,eddington_at_end,0.06,20237.762589541413,0.9855012687198506,10.283979297843791,1.0046494907712697,1.0560858575299951e+57,0.00932059930697186,0.018641198613944605,0.0016744770636541867,0.0011958748855873285,9.396927680427325e-13,10062493
27,timing_control,dense,300.0,1.5,0.01,0.5,0.0,6907376.548733152,0.9856298842379916,0.9929105481500823,6708682.297270728,0.986265720934042,0.9927883961064305,98694.25146117942,eddington_at_end,0.07,16098.089996811426,0.874781919201856,10.644347354500747,1.0453638594992851,1.0560858575299951e+57,0.09278559874724097,0.1855711974944858,0.00038844110773934165,0.00027776044619244567,1.262101534393878e-12,10021658
28,pure_expansion,dense,300.0,1.25,0.001,0.0,0.0,6998321.837700163,0.9986070824555965,0.9986070824555965,6792507.329439325,0.9985891180067747,0.9985891180067747,105814.50826112252,eddington_at_end,0.04,21815.21117131303,0.9701680636628375,10.0,1.0098989630839497,1.0560858575299951e+57,0.01989591563803643,0.019895915638036967,0.0,0.004206754565265851,1.545430450278218e-12,10563373
29,pure_heating,dense,300.0,1.25,0.001,1.0,0.0,7007871.786670332,0.9999697872439539,0.9999697872439539,6801969.834277674,0.999980232348265,0.999980232348265,105901.95239113834,eddington_at_end,0.06,20141.612239923186,0.9992645697750616,10.376008385145624,1.0,1.0560858575299951e+57,0.0,0.01991235743852125,0.0010424536607762148,0.0007886845294055324,8.819611707622244e-13,10573565
30,solar_mixed,dense,300.0,1.25,0.001,0.5,1.0,7003063.175144901,0.9992836351009922,0.9992836351009922,6797211.099676876,0.9992806349304981,0.9992806349304981,105852.07546707333,eddington_at_end,0.05,21804.091921358482,0.9845320728658314,10.053087939539035,1.0049634270118009,1.0560858575299951e+57,0.00995148963130327,0.019902979262609206,0.0002898357690899178,0.00021961035054723048,1.6768808563938364e-12,10568424
31,pure_expansion,dense,300.0,1.25,0.01,0.0,0.0,6917794.66468311,0.9871164698244713,0.9871164698244713,6712885.575196638,0.9868836588166526,0.9868836588166526,104909.08948781315,eddington_at_end,0.04,16954.647242809122,0.7627857217307118,10.0,1.0941922731035836,1.0560858575299951e+57,0.19725673051958748,0.19725673051957585,0.0,0.004491958439309689,1.1155520951433573e-12,10477435
32,pure_heating,dense,300.0,1.25,0.01,1.0,0.0,7007842.809383171,0.9999656524063656,0.9999656524063656,6801951.442134464,0.9999775284580555,0.9999775284580555,105891.36724895806,eddington_at_end,0.06,18144.95415656157,0.9992646432829932,10.743418936934203,1.0,1.0560858575299951e+57,0.0,0.1991036715289279,0.00020984446529111544,0.0001586791227741349,9.334755191048316e-13,10573520
33,solar_mixed,dense,300.0,1.25,0.01,0.5,1.0,6961249.1169485925,0.9933170883160038,0.9933170883160038,6755870.107547571,0.9932029580336319,0.9932029580336319,105379.00940192926,eddington_at_end,0.06,17211.260998595804,0.8672492782524038,10.406682933659933,1.0483654667567897,1.0560858575299951e+57,0.09907015188818143,0.1981403037763718,0.00022696030771003118,0.00017228211028899652,2.2879476091475226e-12,10523795
