formation_redshift,observation_redshift,available_time_myr,seed_mass_msun,target_mass_msun,required_eddington_activity,sub_eddington_feasible
25.0,8.0,507.93350112779876,1.0,100000.0,1.1345453964559202,False
25.0,8.0,507.93350112779876,1.0,1000000.0,1.3614544757471045,False
25.0,8.0,507.93350112779876,1.0,10000000.0,1.5883635550382886,False
25.0,8.0,507.93350112779876,10.0,100000.0,0.9076363171647364,True
25.0,8.0,507.93350112779876,10.0,1000000.0,1.1345453964559202,False
25.0,8.0,507.93350112779876,10.0,10000000.0,1.3614544757471045,False
25.0,8.0,507.93350112779876,100.0,100000.0,0.6807272378735523,True
25.0,8.0,507.93350112779876,100.0,1000000.0,0.9076363171647364,True
25.0,8.0,507.93350112779876,100.0,10000000.0,1.1345453964559202,False
25.0,8.0,507.93350112779876,1000.0,100000.0,0.4538181585823682,True
25.0,8.0,507.93350112779876,1000.0,1000000.0,0.6807272378735523,True
25.0,8.0,507.93350112779876,1000.0,10000000.0,0.9076363171647364,True
25.0,8.0,507.93350112779876,100000.0,100000.0,0.0,True
25.0,8.0,507.93350112779876,100000.0,1000000.0,0.2269090792911841,True
25.0,8.0,507.93350112779876,100000.0,10000000.0,0.4538181585823682,True
25.0,6.0,799.4913291175774,1.0,100000.0,0.7208003319389751,True
25.0,6.0,799.4913291175774,1.0,1000000.0,0.8649603983267701,True
25.0,6.0,799.4913291175774,1.0,10000000.0,1.009120464714565,False
25.0,6.0,799.4913291175774,10.0,100000.0,0.5766402655511801,True
25.0,6.0,799.4913291175774,10.0,1000000.0,0.7208003319389751,True
25.0,6.0,799.4913291175774,10.0,10000000.0,0.8649603983267701,True
25.0,6.0,799.4913291175774,100.0,100000.0,0.43248019916338504,True
25.0,6.0,799.4913291175774,100.0,1000000.0,0.5766402655511801,True
25.0,6.0,799.4913291175774,100.0,10000000.0,0.7208003319389751,True
25.0,6.0,799.4913291175774,1000.0,100000.0,0.28832013277559004,True
25.0,6.0,799.4913291175774,1000.0,1000000.0,0.43248019916338504,True
25.0,6.0,799.4913291175774,1000.0,10000000.0,0.5766402655511801,True
25.0,6.0,799.4913291175774,100000.0,100000.0,0.0,True
25.0,6.0,799.4913291175774,100000.0,1000000.0,0.14416006638779502,True
25.0,6.0,799.4913291175774,100000.0,10000000.0,0.28832013277559004,True
25.0,4.0,1406.8800619419167,1.0,100000.0,0.40961104716691454,True
25.0,4.0,1406.8800619419167,1.0,1000000.0,0.4915332566002975,True
25.0,4.0,1406.8800619419167,1.0,10000000.0,0.5734554660336804,True
25.0,4.0,1406.8800619419167,10.0,100000.0,0.3276888377335317,True
25.0,4.0,1406.8800619419167,10.0,1000000.0,0.40961104716691454,True
25.0,4.0,1406.8800619419167,10.0,10000000.0,0.4915332566002975,True
25.0,4.0,1406.8800619419167,100.0,100000.0,0.24576662830014875,True
25.0,4.0,1406.8800619419167,100.0,1000000.0,0.3276888377335317,True
25.0,4.0,1406.8800619419167,100.0,10000000.0,0.40961104716691454,True
25.0,4.0,1406.8800619419167,1000.0,100000.0,0.16384441886676585,True
25.0,4.0,1406.8800619419167,1000.0,1000000.0,0.24576662830014875,True
25.0,4.0,1406.8800619419167,1000.0,10000000.0,0.3276888377335317,True
25.0,4.0,1406.8800619419167,100000.0,100000.0,0.0,True
25.0,4.0,1406.8800619419167,100000.0,1000000.0,0.08192220943338292,True
25.0,4.0,1406.8800619419167,100000.0,10000000.0,0.16384441886676585,True
20.0,11.0,235.39665493078812,1.0,100000.0,2.4480960257473474,False
20.0,11.0,235.39665493078812,1.0,1000000.0,2.937715230896817,False
20.0,11.0,235.39665493078812,1.0,10000000.0,3.4273344360462863,False
20.0,11.0,235.39665493078812,10.0,100000.0,1.958476820597878,False
20.0,11.0,235.39665493078812,10.0,1000000.0,2.4480960257473474,False
20.0,11.0,235.39665493078812,10.0,10000000.0,2.937715230896817,False
20.0,11.0,235.39665493078812,100.0,100000.0,1.4688576154484085,False
20.0,11.0,235.39665493078812,100.0,1000000.0,1.958476820597878,False
20.0,11.0,235.39665493078812,100.0,10000000.0,2.4480960257473474,False
20.0,11.0,235.39665493078812,1000.0,100000.0,0.979238410298939,True
