task_id,halo_mass_msun,halo_redshift,halo_concentration,sigma_over_m_cm2_g,black_hole_seed_msun,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
37,10000000.0,10.0,3.0,30.0,1000.0,2741.608981292961,2.741608981292961,1674.3009822027802,67.30799909018869,0.9613529788757683,0.5555555555555555,2.1316282072803006e-14,133605
38,10000000.0,10.0,3.0,50.0,1000.0,2331.029677645122,2.331029677645122,1268.9146146754763,62.115062969637904,0.9533330743762675,0.5555555555555555,2.1316282072803006e-14,130727
39,10000000.0,10.0,3.0,100.0,1000.0,1873.7724300451255,1.8737724300451255,817.8609381550057,55.9114918901507,0.9360113801173238,0.5555555555555555,5.417888360170764e-14,127601
40,10000000.0,10.0,5.0,10.0,1000.0,7827.844578696971,7.827844578696971,6700.527236133829,127.31734256336901,0.9813532160705042,0.33333333333333326,1.021405182655144e-13,366717
41,10000000.0,10.0,5.0,30.0,1000.0,4467.951325428135,4.4679513254281344,3379.4338326795237,88.51749274872462,0.9744755665687773,0.33333333333333326,4.085620730620576e-14,322278
42,10000000.0,10.0,5.0,50.0,1000.0,3212.156686231627,3.2121566862316273,2138.1405358713287,74.01615036025407,0.966541180911383,0.33333333333333326,7.283063041541027e-14,304394
43,10000000.0,10.0,5.0,100.0,1000.0,2320.5258754315146,2.320525875431515,1257.522258100505,63.00361733104463,0.952288994480762,0.33333333333333326,3.907985046680551e-14,291303
44,10000000.0,10.0,8.0,10.0,1000.0,16323.642665690659,16.32364266569066,15088.842993719933,234.799671970969,0.9846772939637624,0.20833333333333331,1.3322676295501878e-13,952255
45,10000000.0,10.0,8.0,30.0,1000.0,7208.236088363104,7.208236088363104,6087.608547742421,120.62754062059828,0.9805697562232225,0.20833333333333331,1.1457501614131615e-13,740061
46,10000000.0,10.0,8.0,50.0,1000.0,4642.012587531463,4.642012587531464,3549.056630319814,92.95595721178667,0.9744767611375406,0.20833333333333331,6.039613253960852e-14,677696
47,10000000.0,10.0,8.0,100.0,1000.0,3172.1577083071784,3.1721577083071786,2095.87021217833,76.28749612889604,0.9648793935002531,0.20833333333333331,2.1671553440683056e-13,638868
48,10000000.0,20.0,3.0,10.0,1000.0,14005.593844884192,14.005593844884192,12804.485957592466,201.10788729093372,0.9845368162584262,0.5555555555555556,1.127986593019159e-13,541490
49,10000000.0,20.0,3.0,30.0,1000.0,6098.856948664597,6.098856948664597,4989.513732873548,109.34321579106448,0.9785553474255271,0.5555555555555556,9.14823772291129e-14,431457
