task_id,ambient_model,feedback_efficiency,feedback_heating_fraction,feedback_expansion_fraction,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,scale_radius_expansion_factor,final_ambient_density_msun_pc3,final_ambient_sound_speed_km_s,bondi_limited_sample_fraction,transition_time_myr,ever_eddington_after_assembly,limiter_history,bondi_reclosure_time_myr,eddington_limited_duration_myr,final_bondi_to_eddington_ratio,feedback_to_binding_ratio,total_feedback_to_binding_ratio,mass_budget_residual_code
33,evolving,3e-05,0.0,1.0,1330.400640460646,1212.7517496380763,17.648890822584157,1.165922223819039,189.20915687098082,10.0,0.20588235294117646,0.93,True,eddington_at_end,nan,1.075,2.6960123494540778,0.3593746319951329,0.3593746319951354,4.627409566637652e-13
34,fixed,3e-05,0.5,0.5,1366.9509954136606,1248.6833362980447,18.26765911564532,1.0890303644871315,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.392092537731651,0.1859871347749747,0.37197426954994606,1.723066134218243e-13
35,evolving,3e-05,0.5,0.5,1367.9793944576372,1250.151709521259,17.827684936456567,1.0869717838901212,233.50401581805033,12.624062035180485,0.25,0.99,True,eddington_at_end,nan,1.0150000000000001,1.7004890165655293,0.18150765897327206,0.36301531794654085,1.9895196601282805e-13
36,fixed,3e-05,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,0.3781922575040129,3.6148861681795097e-13
37,evolving,3e-05,1.0,0.0,1409.993126825968,1291.9869623809282,18.006164445071477,1.0,299.8799589036995,14.829802727544516,0.3088235294117647,1.07,True,eddington_at_end,nan,0.9349999999999999,1.3885310573321905,0.0,0.36664959776457723,3.0464519795714295e-13
38,fixed,0.0001,0.0,1.0,1189.1546093826917,1072.2014159412743,16.953193441452502,1.4665248376571847,300.0,10.0,0.18382352941176472,0.9,True,eddington_at_end,nan,1.105,3.8208224754234092,1.1506950994654321,1.1506950994653904,6.199485369506874e-13
39,evolving,0.0001,0.0,1.0,1202.9112791399716,1086.3459260764594,16.56535306351791,1.457522041095671,96.85364289554468,10.0,0.33088235294117646,1.1,True,eddington_at_end,nan,0.9049999999999999,1.2478053367892894,1.1243705002796904,1.1243705002797229,4.4586556668946287e-13
40,fixed,0.0001,0.5,0.5,1281.2363346565742,1163.5794123656588,17.65692229096721,1.2646067717919023,300.0,10.0,0.18382352941176472,0.9,True,eddington_at_end,nan,1.105,4.1166863796846505,0.599230287261936,1.1984605745238657,5.337952302397753e-13
41,evolving,0.0001,0.5,0.5,1300.0186296526047,1186.922873741962,13.095755910631407,1.2018469511825907,172.76165311294955,15.663634329701159,1.0,nan,False,bondi_throughout,nan,0.0,0.6259167888945735,0.44443609406688844,0.888872188133794,2.851052727237402e-13
42,fixed,0.0001,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,1.2606408583467101,3.6148861681795097e-13
43,evolving,0.0001,1.0,0.0,1400.71302866023,1288.2520258670336,12.461002793237018,1.0,299.9169266480451,19.4063072909228,1.0,nan,False,bondi_throughout,nan,0.0,0.6156284970581917,0.0,0.8457884290721458,3.526068326209497e-13
44,fixed,0.0003,0.0,1.0,973.6320281865301,858.5201894865478,15.111838699982956,2.0191930036174095,300.0,10.0,0.20588235294117646,0.93,True,eddington_at_end,nan,1.075,3.1283359680355782,3.0771403858574935,3.0771403858573683,1.4832579608992091e-13
45,evolving,0.0003,0.0,1.0,1046.8828009918482,936.327647589902,10.55515340193897,1.7746232515001625,53.66620345525566,10.0,1.0,nan,False,bondi_throughout,nan,0.0,0.6017224556075373,2.149287684765009,2.149287684764915,5.497824417943775e-13
46,fixed,0.0003,0.5,0.5,1118.5017719712291,1002.1217240079901,16.38004796320446,1.6333062855843108,300.0,10.0,0.19117647058823528,0.91,True,eddington_at_end,nan,1.095,3.593810826135612,1.6676894225292176,3.3353788450583313,2.504663143554353e-13
47,evolving,0.0003,0.5,0.5,1218.9797542806782,1112.0482092853038,6.931544995358598,1.3060306822535248,134.64623490975447,18.187013790155603,1.0,nan,False,bondi_throughout,nan,0.0,0.29221587077993455,0.7057161429876072,1.4114322859752044,5.258016244624741e-13
48,fixed,0.0003,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,3.7819225750401286,3.6148861681795097e-13
49,evolving,0.0003,1.0,0.0,1391.3802630065522,1284.2267196675496,7.153543339016141,1.0,299.9523097110732,24.006644655510424,1.0,nan,False,bondi_throughout,nan,0.0,0.32307320352913355,0.0,1.4566365845667868,2.708944180085382e-13
50,fixed,0.001,0.0,1.0,697.5420614239328,585.2631524281024,12.278908995849704,3.05520677496796,300.0,10.0,0.2647058823529412,1.01,True,eddington_at_end,nan,0.995,2.2412429509273624,8.334288437810123,8.33428843781001,8.970602038971265e-14
51,evolving,0.001,0.0,1.0,868.6677723574757,763.5056666727813,5.162105684665091,2.122208846190207,31.383911533230403,10.0,1.0,nan,False,bondi_throughout,nan,0.0,0.2919833330493827,3.503770386847968,3.503770386847976,1.1723955140041653e-13
52,fixed,0.001,0.5,0.5,855.6628808249891,741.685305823215,13.977575001790166,2.396586643356999,300.0,10.0,0.22058823529411764,0.9500000000000001,True,eddington_at_end,nan,1.055,2.749294280698136,4.743627539117168,9.487255078233883,8.348877145181177e-14
53,evolving,0.001,0.5,0.5,1114.2675628230493,1011.0849419893332,3.182620833689245,1.442254907534236,99.99181740807417,21.287564537363405,1.0,nan,False,bondi_throughout,nan,0.0,0.12370102511508396,1.0800992183065872,2.1601984366131988,2.220446049250313e-13
54,fixed,0.001,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,12.606408583467099,3.6148861681795097e-13
55,evolving,0.001,1.0,0.0,1384.8221639015376,1281.0981982636986,3.723965637862397,1.0,299.9751735624142,30.43799769605325,1.0,nan,False,bondi_throughout,nan,0.0,0.15777142968162236,0.0,2.52763529470976,1.4210854715202004e-13
56,evolving,0.00013,0.0,1.0,1164.2798269432642,1048.155057329517,16.124769613688244,1.5565364648367117,79.52207594705196,10.0,0.47794117647058826,1.26,True,transient_eddington,1.97,0.71,0.9916133455244728,1.4228057663663674,1.4228057663663827,1.3944401189291966e-13
57,evolving,0.00017,0.0,1.0,1127.04332370416,1012.7295182974885,14.313805406695064,1.6283826488846407,69.45662747603068,10.0,1.0,nan,False,bondi_throughout,nan,0.0,0.8384006071129,1.651630051188558,1.6516300511885247,5.053735208093713e-13
58,evolving,0.00022,0.0,1.0,1091.2822829331374,978.777817156785,12.504465776314964,1.6932881141495693,61.77432061336193,10.0,1.0,nan,False,bondi_throughout,nan,0.0,0.7220085885537245,1.8672246375202055,1.8672246375200414,5.835332217429823e-13
59,evolving,4e-05,0.5,0.5,1355.3261922765894,1237.6392534402698,17.686938836298395,1.1135975882152513,217.1529230337764,13.361540207336208,0.2867647058823529,1.04,True,eddington_at_end,nan,0.965,1.3214088885635429,0.240099588478824,0.48019917695764613,1.9273471707492718e-13
60,evolving,5e-05,0.5,0.5,1343.437651809742,1225.9040796827335,17.533572126958745,1.1390882541841394,202.89898972544228,14.046776169604527,0.34558823529411764,1.12,True,eddington_at_end,nan,0.8849999999999999,1.0533305867974965,0.2975220508202704,0.5950441016405411,3.943512183468556e-13
61,evolving,7e-05,0.5,0.5,1322.680831399417,1206.9072720091428,15.773559390329742,1.1724844025155865,186.05775461398508,14.918328029457843,1.0,nan,False,bondi_throughout,nan,0.0,0.7938522126881667,0.37471967414233126,0.7494393482846614,7.176481631177012e-13
62,evolving,4e-05,1.0,0.0,1409.6163720761256,1291.7428120169395,17.873560059195835,1.0,299.8808429329387,16.084756266870155,0.39705882352941174,1.19,True,eddington_at_end,nan,0.8150000000000001,1.0879363470684555,0.0,0.48526593036632215,3.161915174132446e-13
63,evolving,5e-05,1.0,0.0,1408.3922768344478,1291.242567900982,17.149708933549167,1.0,299.88566860710966,17.03999147675086,1.0,nan,False,bondi_throughout,nan,0.0,0.9142574506454765,0.0,0.5820167774066812,2.424727085781342e-13
64,evolving,7e-05,1.0,0.0,1404.501182793316,1289.7610525138002,14.74013027945349,1.0,299.9017324648036,18.139702370735925,1.0,nan,False,bondi_throughout,nan,0.0,0.7558017517926896,0.0,0.7003386716276765,2.948752353404416e-13
