task_id,configuration,feedback_heating_fraction,feedback_efficiency,metallicity_solar,cooling_rate_multiplier,limiter_history,transition_time_myr,reclosure_time_myr,final_bondi_to_eddington_ratio,final_sound_speed_km_s,final_gas_density_msun_pc3,final_temperature_k,final_cooling_time_myr,minimum_cooling_time_myr,retained_thermal_energy_fraction,scale_radius_expansion_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,mass_budget_residual_code
10,heating_extreme,1.0,0.001,1.0,1.0,eddington_at_end,0.89,nan,4.440957526606112,10.066896114117368,299.8785427929584,9420.01445820378,0.00021485294438996466,0.00021485294438996466,0.0003318977426811392,1.0,1292.436076335319,18.218581056238534,2.744471316873387e-13
11,mixed_strong,0.5,0.00014,0.0,1.0,eddington_at_end,1.02,nan,1.5965866462753522,10.115548223709458,123.41824694711045,9510.715316498696,0.006037027599480559,0.004169205293751237,0.008801770846412864,1.3443920931403248,1133.2200356227575,16.99325732524469,3.419486915845482e-13
12,mixed_strong,0.5,0.00014,0.001,1.0,eddington_at_end,1.02,nan,1.5970272676668047,10.114593536300296,123.41760465949739,9508.931364178205,0.005986913749042127,0.004101925222231059,0.008728566423382381,1.3443944239756904,1133.2173972974463,16.99338923020564,3.241851231905457e-13
13,mixed_strong,0.5,0.00014,0.01,1.0,eddington_at_end,1.02,nan,1.60080560115765,10.10643911640187,123.41256658682249,9493.700590204846,0.005558788364003458,0.0035793890208479216,0.00810366556580939,1.3444127074952537,1133.1967298347754,16.99442392595883,3.2240876635114546e-13
14,mixed_strong,0.5,0.00014,0.1,1.0,eddington_at_end,1.02,nan,1.623818751707797,10.057709732616258,123.39238198672008,9402.936992054465,0.003002284602057825,0.001556968297121532,0.004381971092690918,1.3444859688041892,1133.1142696537847,16.998570050324957,3.4727776210274897e-13
15,mixed_strong,0.5,0.00014,1.0,1.0,eddington_at_end,1.01,nan,1.647336406640652,10.00911160847594,123.37882597081334,9312.849333784718,0.00047123006544105465,0.00023189543726122883,0.0006900662405653309,1.3445351802050698,1133.0589873426645,17.001355229634015,3.517186542012496e-13
16,mixed_extreme,0.5,0.001,0.0,1.0,bondi_throughout,nan,nan,0.42101265827002016,10.313699467810352,44.1675134717483,9884.583867663345,0.007026912995194829,0.0041564243997904175,0.007535220864913729,1.8937163029715058,868.8033756053004,7.620384429911516,1.8385293287792592e-13
17,mixed_extreme,0.5,0.001,0.001,1.0,bondi_throughout,nan,nan,0.4210435698603311,10.312913793217938,44.162147987687646,9883.087328219817,0.007008851601254438,0.004106335389529481,0.00751521377840114,1.8937929802690556,868.7696784095461,7.621240169755179,1.9895196601282805e-13
18,mixed_extreme,0.5,0.001,0.01,1.0,bondi_throughout,nan,nan,0.42132983488358766,10.305877057437055,44.114446588608835,9869.68889443103,0.0068469196501346,0.0036967554450567865,0.007336336406985514,1.894475220024646,868.4816076158489,7.628855679727322,1.9539925233402755e-13
19,mixed_extreme,0.5,0.001,0.1,1.0,bondi_throughout,nan,nan,0.42471228532362626,10.241058229879817,43.71403556748671,9746.694078584233,0.0053487701680846045,0.0017629479022385434,0.005714922796014675,1.9002410671150853,866.6480537736603,7.6933265721235315,2.389199948993337e-13
20,mixed_extreme,0.5,0.001,1.0,1.0,bondi_throughout,nan,nan,0.4388362912517837,10.056689887033505,42.86972301857015,9401.042050474514,0.001205228954980375,0.00026834421224291986,0.0013080659505932029,1.9126330655652712,864.2871659085798,7.832550880460146,2.362554596402333e-13
21,heating_extreme,1.0,0.001,0.0,0.01,eddington_at_end,1.06,nan,3.304527424941398,11.10548354240327,299.881459484082,11319.325141349402,0.0037331695352695255,0.0037331695352695255,0.005910598979703189,1.0,1291.4262146200208,17.78107738770424,2.4069635173873394e-13
22,heating_extreme,1.0,0.001,0.0,0.0001,eddington_at_end,1.34,nan,2.1045749082623595,12.899463317945893,299.8879013431776,13545.344291815745,0.01049155448878487,0.01049155448878487,0.01778699416284607,1.0,1289.6312828836974,16.81479852336357,2.9753977059954195e-13
23,heating_extreme,1.0,0.001,0.0,1e-06,bondi_throughout,nan,nan,0.2945956098052143,24.751176896521446,299.95252890860877,28885.558032835885,0.7074028390409509,0.17276216483660703,0.3243550045468063,1.0,1283.3570210856349,7.1206637086817715,2.540190280342358e-13
24,heating_extreme,1.0,0.001,1.0,0.01,eddington_at_end,1.03,nan,3.42186041079037,10.978295022303094,299.8804950259393,11105.48509472912,0.0032859810358210275,0.0032859810358210275,0.005157074118163639,1.0,1291.7573148079514,17.92574610910547,2.788880237858393e-13
25,heating_extreme,1.0,0.001,1.0,0.0001,eddington_at_end,1.32,nan,2.1498417579548157,12.80901055989949,299.88729240436726,13457.00408650577,0.010122843172149374,0.010122843172149374,0.01707126875863341,1.0,1289.7822431994146,16.906139344908432,3.8191672047105385e-13
26,heating_extreme,1.0,0.001,1.0,1e-06,bondi_throughout,nan,nan,0.3399430579548147,23.600751203136532,299.949947277957,26559.21963433986,0.369967746576844,0.156637539618123,0.2742420683307127,1.0,1283.5255792157018,7.50790830645152,2.1938006966593093e-13
27,mixed_extreme,0.5,0.001,0.0,0.01,bondi_throughout,nan,nan,0.38335973024210535,11.058271196484682,48.46930047323791,11248.492563229798,0.02654192978540072,0.02654192978540072,0.028746929494006153,1.8359563848757559,891.643373140205,6.9856112942975965,2.9309887850104133e-13
28,mixed_extreme,0.5,0.001,0.0,0.0001,bondi_throughout,nan,nan,0.31650697470606237,12.579514207418345,56.919344289438314,13231.075843568413,0.08161602031835401,0.08161602031835401,0.08781722193438762,1.7402082661812022,927.5405757420599,5.976662780030576,5.524469770534779e-13
29,mixed_extreme,0.5,0.001,0.0,1e-06,bondi_throughout,nan,nan,0.18640805889480985,17.258039011996797,81.94989832363011,17057.566016662608,0.6639590550493955,0.5346825257940566,0.43999764733691343,1.5411488127982051,987.6229069700414,4.051987138885559,6.998845947236987e-13
30,mixed_extreme,0.5,0.001,1.0,0.01,bondi_throughout,nan,nan,0.3863769988209057,10.925064917119576,47.51897099058779,11005.976823908988,0.023073487500606477,0.022515316515130925,0.024506528126982924,1.8481129492300934,882.8455861507223,7.117576639488979,5.355715870791755e-13
31,mixed_extreme,0.5,0.001,1.0,0.0001,bondi_throughout,nan,nan,0.3195139673522013,12.483342779810332,56.304811573404166,13135.636252717828,0.07787678492755844,0.07787678492755844,0.0832799814595526,1.7465156373406965,924.6762609798284,6.041464599014434,2.389199948993337e-13
32,mixed_extreme,0.5,0.001,1.0,1e-06,bondi_throughout,nan,nan,0.19005410004262924,17.07989456890727,81.10114633147815,16906.069137394577,0.6123583278637369,0.5068198216102588,0.42132484697989747,1.5465058292978322,986.1051677388621,4.1007257278388005,7.336353746723034e-13
33,heating_extreme,1.0,0.001,0.0,3e-05,eddington_at_end,1.49,nan,1.6926302595917682,13.865609984128957,299.89240902965287,14408.783123044941,0.014742137395042036,0.014742137395042036,0.02575024262666532,1.0,1288.6671377434343,16.13864555207288,2.6290081223123707e-13
34,heating_extreme,1.0,0.001,0.0,1e-05,eddington_at_end,1.78,nan,1.2057093917788408,15.51639390815507,299.9005650155324,15607.726780777019,0.022623058664475726,0.022623058664475726,0.042512216174287104,1.0,1287.3832454448514,14.915247670144677,2.8421709430404007e-13
35,heating_extreme,1.0,0.001,0.0,3e-06,bondi_throughout,nan,nan,0.7074481557141689,18.508649090904175,299.92595309827925,18257.370876682675,0.06094602283783818,0.05769051253360535,0.09838876544557403,1.0,1285.2852942776585,11.107035258112818,2.4424906541753444e-13
36,heating_extreme,1.0,0.001,1.0,3e-05,eddington_at_end,1.48,nan,1.7469365219675346,13.721248487590474,299.89170517248135,14296.604582508106,0.014162236333667273,0.014162236333667273,0.024478458055873342,1.0,1288.8203284221872,16.24422412779403,2.824407374646398e-13
37,heating_extreme,1.0,0.001,1.0,1e-05,eddington_at_end,1.75,nan,1.241133703882724,15.368699035454298,299.89926034474144,15506.527697800826,0.021813629372526594,0.021813629372526594,0.04060161348762679,1.0,1287.5645503753028,15.110948288785252,2.5490720645393594e-13
38,heating_extreme,1.0,0.001,1.0,3e-06,bondi_throughout,nan,nan,0.748865881761909,18.163107236514538,299.92372900136155,17822.137582344418,0.05242175099384973,0.052303748401169484,0.09052917622400132,1.0,1285.462759376721,11.44064979576117,2.717825964282383e-13
