task_id,configuration,feedback_heating_fraction,feedback_efficiency,cooling_time_myr,ever_eddington_after_assembly,limiter_history,bondi_reclosure_time_myr,transition_time_myr,final_bondi_to_eddington_ratio,final_sound_speed_km_s,peak_sound_speed_km_s,final_density_fraction,retained_thermal_energy_fraction,final_thermal_energy_erg,cooling_loss_energy_erg,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,mass_budget_residual_code
14,mixed_strong,0.5,0.00014,0.3,False,bondi_throughout,nan,nan,0.7981500910290431,13.173981431760202,13.173981431760202,0.45025143918520577,0.32041110760364233,6.579516726230943e+49,1.395509200016188e+50,1146.6537662481808,14.77305968581308,4.147793219999585e-13
15,mixed_strong,0.5,0.00014,1.0,False,bondi_throughout,nan,nan,0.6204521218791514,14.851003006149739,14.851003006149739,0.4978157195903185,0.622932997985286,1.0784172022567914e+50,6.527757281942362e+49,1158.0858394747868,12.454591577554421,4.5208281562736374e-13
16,mixed_strong,0.5,0.00014,3.0,False,bondi_throughout,nan,nan,0.5430240479985416,15.778660980646679,15.778660980646679,0.5208931512392518,0.8367181774402856,1.3326267664345278e+50,2.6005617313222237e+49,1163.1078375108023,11.45811952898582,4.192202140984591e-13
17,mixed_strong,0.5,0.00014,inf,False,bondi_throughout,nan,nan,0.49759243427268457,16.402023043101096,16.402023043101096,0.5351522114854451,1.0000000000000362,1.5121016792728378e+50,0.0,1166.0606283718364,10.878399806178848,4.0589753780295723e-13
18,heating_threshold,1.0,5e-05,0.001,True,eddington_at_end,nan,0.89,4.509571931443466,10.015610772925719,10.015610772925719,0.9995950520221212,0.0015447180308124204,2.7947882471352685e+47,1.8064598403567616e+50,1292.4459447300203,18.222659004544465,2.9043434324194095e-13
19,heating_threshold,1.0,5e-05,0.003,True,eddington_at_end,nan,0.89,4.467883647788639,10.04664764423479,10.04664764423479,0.9995951011974938,0.004623599404627916,8.364252776603225e+47,1.8006706666913684e+50,1292.4407248335647,18.220446112780532,3.0109248427834245e-13
20,heating_threshold,1.0,5e-05,0.01,True,eddington_at_end,nan,0.9,4.328387126033562,10.153376882905174,10.153376882905174,0.9995952697683083,0.015289644222088125,2.7647984872316673e+48,1.7806337822321865e+50,1292.422900094754,18.212860426123044,2.957634137601417e-13
21,heating_threshold,1.0,5e-05,0.03,True,eddington_at_end,nan,0.91,3.9780258316772197,10.442947958037198,10.442947958037198,0.9995957231105901,0.04484074298995427,8.099387421076984e+48,1.7252624188420682e+50,1292.3754989822953,18.19246002344827,3.490541189421492e-13
22,heating_threshold,1.0,5e-05,0.1,True,eddington_at_end,nan,0.9500000000000001,3.133955882026541,11.306507492938513,11.306507492938513,0.999597038761291,0.13829833741661535,2.4898930316629425e+49,1.5513888345421085e+50,1292.2424095638962,18.13325574190249,2.6201263381153694e-13
23,heating_threshold,1.0,5e-05,0.3,True,eddington_at_end,nan,1.03,2.0852514560427835,12.950101968003937,12.950101968003937,0.9995994009029765,0.3383520149524864,6.055906912874415e+49,1.1842337061599403e+50,1292.0196671306173,18.02695936605956,3.8191672047105385e-13
